id,name,rgb,count,is_trans,lab_array,lab_array_norm,rgb_array
1134,HO Titanium,616161,135,f,[105 128 128],"[41.015625, 0, 0]",bytearray(b'aaa')
1126,HO Metallic Dark Gray,5e5e5e,57,f,[102 128 128],"[39.84375, 0, 0]",bytearray(b'^^^')
148,Pearl Dark Gray,575857,184,f,[ 95 127 128],"[37.109375, -1, 0]",bytearray(b'WXW')
1018,Modulex Black,4D4C52,68,f,[ 83 129 125],"[32.421875, 1, -3]",bytearray(b'MLR')
1085,Two-tone Silver,737271,288,f,[123 128 129],"[48.046875, 0, 1]",bytearray(b'srq')
179,Flat Silver,898788,283,f,[144 129 128],"[56.25, 1, 0]",bytearray(b'\x89\x87\x88')
28,Dark Tan,958A73,688,f,[148 128 142],"[57.8125, 0, 14]",bytearray(b'\x95\x8as')
1021,Modulex Brown,907450,145,f,[129 134 152],"[50.390625, 6, 24]",bytearray(b'\x90tP')
84,Medium Nougat,AA7D55,96,f,[143 140 157],"[55.859375, 12, 29]",bytearray(b'\xaa}U')
134,Copper,AE7A59,100,f,[142 144 154],"[55.46875, 16, 26]",bytearray(b'\xaezY')
178,Flat Dark Gold,B48455,275,f,[150 141 160],"[58.59375, 13, 32]",bytearray(b'\xb4\x84U')
92,Nougat,D09168,60,f,[167 147 159],"[65.234375, 19, 31]",bytearray(b'\xd0\x91h')
1065,Reddish Gold,AC8247,91,f,[146 137 166],"[57.03125, 9, 38]",bytearray(b'\xac\x82G')
450,Fabuland Brown,B67B50,36,f,[145 146 161],"[56.640625, 18, 33]",bytearray(b'\xb6{P')
1017,Modulex Tile Gray,6B5A5A,56,f,[102 135 130],"[39.84375, 7, 2]",bytearray(b'kZZ')
72,Dark Bluish Gray,6C6E68,62,f,[118 126 131],"[46.09375, -2, 3]",bytearray(b'lnh')
8,Dark Gray,6D6E5C,43,f,[117 124 138],"[45.703125, -4, 10]",bytearray(b'mn\\')
1088,Medium Brown,755945,118,f,[103 136 144],"[40.234375, 8, 16]",bytearray(b'uYE')
32,Trans-Black IR Lens,635F52,54,t,[103 127 136],"[40.234375, -1, 8]",bytearray(b'c_R')
60,Chrome Antique Brass,645A4C,184,f,[ 99 129 138],"[38.671875, 1, 10]",bytearray(b'dZL')
1103,Pearl Titanium,3E3C39,521,f,[ 65 128 130],"[25.390625, 0, 2]",bytearray(b'><9')
1089,Warm Tan,CCA373,37,f,[178 137 159],"[69.53125, 9, 31]",bytearray(b'\xcc\xa3s')
1015,Modulex Light Gray,9C9C9C,310,f,[164 128 128],"[64.0625, 0, 0]",bytearray(b'\x9c\x9c\x9c')
71,Light Bluish Gray,A0A5A9,32,f,[172 127 125],"[67.1875, -1, -3]",bytearray(b'\xa0\xa5\xa9')
135,Pearl Light Gray,9CA3A8,17,f,[170 127 125],"[66.40625, -1, -3]",bytearray(b'\x9c\xa3\xa8')
1135,Metal,A5ADB4,52,f,[179 127 123],"[69.921875, -1, -5]",bytearray(b'\xa5\xad\xb4')
1014,Modulex Light Bluish Gray,AfB5C7,9,f,[188 129 118],"[73.4375, 1, -10]",bytearray(b'\xaf\xb5\xc7')
150,Pearl Very Light Gray,ABADAC,53,f,[180 127 128],"[70.3125, -1, 0]",bytearray(b'\xab\xad\xac')
1000,Glow in Dark White,D9D9D9,44,f,[221 128 128],"[86.328125, 0, 0]",bytearray(b'\xd9\xd9\xd9')
7,Light Gray,9BA19D,119,f,[168 125 129],"[65.625, -3, 1]",bytearray(b'\x9b\xa1\x9d')
1117,HO Gold,b4a774,42,f,[175 125 156],"[68.359375, -3, 28]",bytearray(b'\xb4\xa7t')
1120,HO Light Gold,cdc298,45,f,[200 125 151],"[78.125, -3, 23]",bytearray(b'\xcd\xc2\x98')
294,Glow In Dark Trans,BDC6AD,11,t,[201 120 140],"[78.515625, -8, 12]",bytearray(b'\xbd\xc6\xad')
1022,Modulex Buff,DEC69C,19,f,[207 130 152],"[80.859375, 2, 24]",bytearray(b'\xde\xc6\x9c')
1016,Modulex Charcoal Gray,595D60,27,f,[100 127 126],"[39.0625, -1, -2]",bytearray(b'Y]`')
142,Pearl Light Gold,DCBC81,67,f,[198 131 162],"[77.34375, 3, 34]",bytearray(b'\xdc\xbc\x81')
21,Glow In Dark Opaque,D4D5C9,5,f,[217 126 134],"[84.765625, -2, 6]",bytearray(b'\xd4\xd5\xc9')
1138,Umber Brown,5E3F33,29,f,[ 76 140 141],"[29.6875, 12, 13]",bytearray(b'^?3')
